Feature Pair,F-Statistic,P-Value,,,
languageLVL,vs,POS,numPronouns,2.0196426488538797,0.1570252085533806
languageLVL,vs,POS,numConjunct,0.14646294040141652,0.7023952763418204
languageLVL,vs,POS,numAdjectives,1.8297290331675091,0.17787532070563342
languageLVL,vs,POS,numVerbs,1.2706565735235436,0.26116078924045755
languageLVL,vs,POS,numAdverbs,15.08147629517941,0.0001449900060892197
languageLVL,vs,POS,numModals,,
languageLVL,vs,POS,numPrepositions,0.009342309607567439,0.9231086214858606
languageLVL,vs,POS,numInterjections,2.685080583366553,0.10305846116016047
languageLVL,vs,POS,numPerPronouns,2.0196426488538797,0.1570252085533806
languageLVL,vs,POS,numWhPronouns,,
languageLVL,vs,POS,numLexicals,25.333445461494883,1.1738376025793685e-06
languageLVL,vs,POS,numFunctionWords,0.9278017973653782,0.3367415066675903
languageLVL,vs,POS,numDeterminers,20.25774711408494,1.2196401155742735e-05
languageLVL,vs,POS,numVerbsVB,0.6942136792444976,0.4058514363860556
languageLVL,vs,POS,numVerbsVBG,,
languageLVL,vs,POS,numVerbsVBN,13.020824343512869,0.0004001351507245003
languageLVL,vs,POS,numVerbsVBP,,
languageLVL,vs,POS,numVerbsVBZ,,
languageLVL,vs,POS,advVar,11.671891535066356,0.0007861635613077695
languageLVL,vs,POS,adjVar,0.698473913183257,0.4044173987225984
languageLVL,vs,POS,modVar,9.89951166546949,0.001938236356778352
languageLVL,vs,POS,nounVar,8.947722116713598,0.003172156963757926
languageLVL,vs,POS,verbVar1,6.130410211912247,0.014222228952660055
languageLVL,vs,POS,verbVar2,0.0852178643473045,0.770686980451773
languageLVL,vs,POS,squaredVerbVar1,1.201883777783768,0.2744265023681821
languageLVL,vs,POS,correctedVV1,0.920723441135294,0.338586649198099
languageLVL,vs,localNounOverlapCount,,,
languageLVL,vs,localArgumentOverlapCount,0.025023393519352004,0.8744881000482395,
languageLVL,vs,localStemOverlapCount,1.065796845439642,0.30329741294076434,
languageLVL,vs,localContentWordOverlap,0.2154437232527145,0.6431008881098211,
languageLVL,vs,globalNounOverlapCount,,,
languageLVL,vs,globalArgumentOverlapCount,0.18944417640679254,0.6639069163933786,
languageLVL,vs,globalStemOverlapCount,0.36283632249841447,0.5477017879035779,
languageLVL,vs,globalContentWordOverlap,0.17001317968548654,0.6805962543373181,
languageLVL,vs,TTR,0.2775012301331171,0.5989995485092787,
languageLVL,vs,CorrectedTTR,0.9341645116226139,0.3350944578644307,
languageLVL,vs,RootTTR,0.9341645116225349,0.33509445786445136,
languageLVL,vs,BilogTTR,1.109036922880055,0.29371885078038573,
languageLVL,vs,MTLD,15.813333246406847,0.00010154651327715811,
languageLVL,vs,conjunctToSent,0.37372848332567477,0.541758848457997,
languageLVL,vs,conjunctTypesToSent,12.528928133516105,0.0005113325428450167,
languageLVL,vs,conjunctToWords,0.785302085420436,0.3767201160396999,
languageLVL,vs,conjunctNum,0.13629207579323532,0.7124341565351101,
languageLVL,vs,conjunctTypesToTotal,9.695801758298044,0.0021526666148614223,
languageLVL,vs,conjunctNeighborSent,0.014451020493521493,0.9044504761913359,
languageLVL,vs,Segment,,,
languageLVL,vs,WC,,,
languageLVL,vs,WPS,,,
languageLVL,vs,BigWords,,,
languageLVL,vs,emopos,,,
languageLVL,vs,emoneg,,,
languageLVL,vs,anxiete,,,
languageLVL,vs,colère,,,
languageLVL,vs,tristesse,,,
languageLVL,vs,cognition,,,
languageLVL,vs,perspicacite,,,
languageLVL,vs,cause,,,
languageLVL,vs,divergence,,,
languageLVL,vs,tentative,,,
languageLVL,vs,certitude,,,
languageLVL,vs,inhibition,,,
languageLVL,vs,inclusion,,,
languageLVL,vs,exclusion,,,
languageLVL,vs,perception,,,
languageLVL,vs,remplisseur,,,
languageLVL,vs,Unnamed: 5,,,
languageLVL,vs,Unnamed: 6,,,
languageLVL,vs,Unnamed: 7,,,
languageLVL,vs,Unnamed: 8,,,
languageLVL,vs,Unnamed: 9,,,
languageLVL,vs,Unnamed: 10,,,
languageLVL,vs,Unnamed: 11,,,
languageLVL,vs,Unnamed: 12,,,
languageLVL,vs,Unnamed: 13,,,
languageLVL,vs,Unnamed: 14,,,
languageLVL,vs,Unnamed: 15,,,
languageLVL,vs,Unnamed: 16,,,
languageLVL,vs,Unnamed: 17,,,
languageLVL,vs,Unnamed: 18,,,
languageLVL,vs,Unnamed: 19,,,
languageLVL,vs,Unnamed: 20,,,
languageLVL,vs,Unnamed: 21,,,
languageLVL,vs,Unnamed: 38,,,
languageLVL,vs,Unnamed: 39,,,
languageLVL,vs,Unnamed: 40,,,
languageLVL,vs,Unnamed: 41,,,
languageLVL,vs,Unnamed: 42,,,
languageLVL,vs,DISC,RefExprPronounsPerNoun,0.1951208014633752,0.6592245172861773
languageLVL,vs,DISC,RefExprPronounsPerSen,6.51195994001298,0.011555759430543553
languageLVL,vs,DISC,RefExprPronounsPerWord,3.6415526683072335,0.05796378279036925
languageLVL,vs,DISC,RefExprPerPronounsPerSen,6.51195994001298,0.011555759430543553
languageLVL,vs,DISC,RefExprPerProPerWord,3.6415526683072335,0.05796378279036925
languageLVL,vs,DISC,RefExprPossProPerSen,,
languageLVL,vs,DISC,RefExprPossProPerWord,,
languageLVL,vs,DISC,RefExprDefArtPerSen,,
languageLVL,vs,DISC,RefExprDefArtPerWord,,
languageLVL,vs,DISC,RefExprProperNounsPerNoun,22.37137548703369,4.5577066232492526e-06
passiveV,vs,POS,numNouns,0.29672826830668464,0.5866226135310176
passiveV,vs,POS,numProperNouns,0.010011751946988025,0.9204102947666806
passiveV,vs,POS,numPronouns,5.346450393206503,0.02190909834838927
passiveV,vs,POS,numConjunct,0.5817835339081358,0.4466237043870702
passiveV,vs,POS,numAdjectives,0.5092084229031234,0.47641629748188874
passiveV,vs,POS,numVerbs,3.8962797763722494,0.04994045240772108
passiveV,vs,POS,numAdverbs,0.7323761500007775,0.3932645840255419
passiveV,vs,POS,numModals,,
passiveV,vs,POS,numPrepositions,1.3941702164786614,0.23927745665396524
passiveV,vs,POS,numInterjections,10.207084630861742,0.0016550811900276532
passiveV,vs,POS,numPerPronouns,5.346450393206503,0.02190909834838927
passiveV,vs,POS,numWhPronouns,,
passiveV,vs,POS,numLexicals,8.08667084667995,0.004981179735875794
passiveV,vs,POS,numFunctionWords,5.095659247937542,0.025200943001393247
passiveV,vs,POS,numDeterminers,0.4546709686216461,0.500999856626031
passiveV,vs,POS,numVerbsVB,2.4760874824147545,0.11736521829249316
passiveV,vs,POS,numVerbsVBG,,
passiveV,vs,POS,numVerbsVBN,0.40352816600924657,0.5260885220240605
passiveV,vs,POS,numVerbsVBP,,
passiveV,vs,POS,numVerbsVBZ,,
passiveV,vs,POS,advVar,0.2759321735334632,0.6000336011168748
passiveV,vs,POS,adjVar,0.09304148349324691,0.7607019429627593
passiveV,vs,POS,modVar,0.3506717702806775,0.5544845502500182
passiveV,vs,POS,nounVar,2.230303641164973,0.13709770514828912
passiveV,vs,POS,verbVar1,7.088332333459598,0.008469532397225164
passiveV,vs,POS,verbVar2,1.2006633722748818,0.2746694685453994
passiveV,vs,POS,squaredVerbVar1,0.4120997616112268,0.5217315238311971
passiveV,vs,POS,correctedVV1,0.39657474979434815,0.529671018227406
passiveV,vs,localNounOverlapCount,,,
passiveV,vs,localArgumentOverlapCount,0.8978904811543705,0.34463261749734064,
passiveV,vs,localStemOverlapCount,0.19242259884040358,0.6614398661850355,
passiveV,vs,localContentWordOverlap,5.67086262078816,0.018304336397077296,
passiveV,vs,globalNounOverlapCount,,,
passiveV,vs,globalArgumentOverlapCount,0.019608661848282898,0.8887938756883027,
passiveV,vs,globalStemOverlapCount,0.0007618643762358094,0.9780105948282667,
passiveV,vs,globalContentWordOverlap,2.226212223714842,0.137456324206917,
passiveV,vs,TTR,1.4794989051976373,0.2254634189760455,
passiveV,vs,CorrectedTTR,2.965710644764644,0.08678413031825112,
passiveV,vs,RootTTR,2.9657106447646377,0.08678413031825112,
passiveV,vs,BilogTTR,4.059827039513186,0.04541983664500078,
passiveV,vs,MTLD,0.5007078301257606,0.48011472356098595,
passiveV,vs,conjunctToSent,0.06248899030478748,0.8028926450764045,
passiveV,vs,conjunctTypesToSent,0.6552730114952268,0.419314488079111,
passiveV,vs,conjunctToWords,0.07215877973926725,0.7885302259493735,
passiveV,vs,conjunctNum,0.15789877559539706,0.6915745610171957,
passiveV,vs,conjunctTypesToTotal,0.42775120670120365,0.5139385401726645,
passiveV,vs,conjunctNeighborSent,0.011871474454391505,0.9133598844189612,
passiveV,vs,Segment,,,
passiveV,vs,WC,,,
passiveV,vs,WPS,,,
passiveV,vs,BigWords,,,
passiveV,vs,emopos,,,
passiveV,vs,emoneg,,,
passiveV,vs,anxiete,,,
passiveV,vs,colère,,,
passiveV,vs,tristesse,,,
passiveV,vs,cognition,,,
passiveV,vs,perspicacite,,,
passiveV,vs,cause,,,
passiveV,vs,divergence,,,
passiveV,vs,tentative,,,
passiveV,vs,certitude,,,
passiveV,vs,inhibition,,,
passiveV,vs,inclusion,,,
passiveV,vs,exclusion,,,
passiveV,vs,perception,,,
passiveV,vs,remplisseur,,,
passiveV,vs,Unnamed: 5,,,
passiveV,vs,Unnamed: 6,,,
passiveV,vs,Unnamed: 7,,,
passiveV,vs,Unnamed: 8,,,
passiveV,vs,Unnamed: 9,,,
passiveV,vs,Unnamed: 10,,,
passiveV,vs,Unnamed: 11,,,
passiveV,vs,Unnamed: 12,,,
passiveV,vs,Unnamed: 13,,,
passiveV,vs,Unnamed: 14,,,
passiveV,vs,Unnamed: 15,,,
passiveV,vs,Unnamed: 16,,,
passiveV,vs,Unnamed: 17,,,
passiveV,vs,Unnamed: 18,,,
passiveV,vs,Unnamed: 19,,,
passiveV,vs,Unnamed: 20,,,
passiveV,vs,Unnamed: 21,,,
passiveV,vs,Unnamed: 38,,,
passiveV,vs,Unnamed: 39,,,
passiveV,vs,Unnamed: 40,,,
passiveV,vs,Unnamed: 41,,,
passiveV,vs,Unnamed: 42,,,
passiveV,vs,DISC,RefExprPronounsPerNoun,4.358907554050618,0.038239503153168486
passiveV,vs,DISC,RefExprPronounsPerSen,3.959351009807496,0.04814279726798324
passiveV,vs,DISC,RefExprPronounsPerWord,5.7431792346652175,0.0175886848698374
passiveV,vs,DISC,RefExprPerPronounsPerSen,3.959351009807496,0.04814279726798324
passiveV,vs,DISC,RefExprPerProPerWord,5.7431792346652175,0.0175886848698374
passiveV,vs,DISC,RefExprPossProPerSen,,
passiveV,vs,DISC,RefExprPossProPerWord,,
passiveV,vs,DISC,RefExprDefArtPerSen,,
passiveV,vs,DISC,RefExprDefArtPerWord,,
passiveV,vs,DISC,RefExprProperNounsPerNoun,0.03960198445097809,0.8424879374919878
negLang,vs,POS,numNouns,0.13584125626647423,0.712888857602042
negLang,vs,POS,numProperNouns,0.9268333888030255,0.3369931436261304
negLang,vs,POS,numPronouns,0.6839651570909905,0.40933195879559536
negLang,vs,POS,numConjunct,2.6409565854021118,0.1059101235970793
negLang,vs,POS,numAdjectives,0.15293733486418706,0.6962116899359063
negLang,vs,POS,numVerbs,0.4325667466171675,0.5115817896448942
negLang,vs,POS,numAdverbs,0.3580051294741091,0.5503768155219174
negLang,vs,POS,numModals,,
negLang,vs,POS,numPrepositions,4.106001552182335,0.044223839114921774
negLang,vs,POS,numInterjections,7.4633733285180375,0.006931207616815632
negLang,vs,POS,numPerPronouns,0.6839651570909905,0.40933195879559536
negLang,vs,POS,numWhPronouns,,
negLang,vs,POS,numLexicals,0.0025914393252467085,0.9594573597111589
negLang,vs,POS,numFunctionWords,0.457221536813885,0.49980299371489345
negLang,vs,POS,numDeterminers,0.1405361687358698,0.7081948437371843
negLang,vs,POS,numVerbsVB,0.32042421833954193,0.5720657569787821
negLang,vs,POS,numVerbsVBG,,
negLang,vs,POS,numVerbsVBN,4.882224457886685,0.028410407975545865
negLang,vs,POS,numVerbsVBP,,
negLang,vs,POS,numVerbsVBZ,,
negLang,vs,POS,advVar,0.5040124338718025,0.47867138473045545
negLang,vs,POS,adjVar,0.24949633735210067,0.6180467824554672
negLang,vs,POS,modVar,0.05768602638428188,0.8104677520722006
negLang,vs,POS,nounVar,0.10529839690626641,0.7459427073110606
negLang,vs,POS,verbVar1,16.98664428723768,5.762659430264695e-05
negLang,vs,POS,verbVar2,0.5103240053092775,0.47593439493907574
negLang,vs,POS,squaredVerbVar1,8.115174873113066,0.004906870874151421
negLang,vs,POS,correctedVV1,7.2972549039374135,0.007573502544688771
negLang,vs,localNounOverlapCount,,,
negLang,vs,localArgumentOverlapCount,4.4112027462228476e-05,0.9947081759070189,
negLang,vs,localStemOverlapCount,0.05408649397293691,0.8163663711657891,
negLang,vs,localContentWordOverlap,0.7012990740908921,0.40347051359725594,
negLang,vs,globalNounOverlapCount,,,
negLang,vs,globalArgumentOverlapCount,1.515816506238979,0.21987792248230148,
negLang,vs,globalStemOverlapCount,2.030376154828044,0.15593344039839233,
negLang,vs,globalContentWordOverlap,0.9756869031118781,0.3246067521340841,
negLang,vs,TTR,0.7798156310518729,0.3783886071749739,
negLang,vs,CorrectedTTR,0.03149258032066883,0.8593476916828755,
negLang,vs,RootTTR,0.03149258032067521,0.8593476916828755,
negLang,vs,BilogTTR,0.011391045415644055,0.9151242944233139,
negLang,vs,MTLD,0.6211862549985409,0.4316551578496489,
negLang,vs,conjunctToSent,1.002738133083739,0.31800819490676924,
negLang,vs,conjunctTypesToSent,3.4988312994726356,0.06305368214442078,
negLang,vs,conjunctToWords,1.8034265133320486,0.1810086744227729,
negLang,vs,conjunctNum,0.04241888783847617,0.8370587302711937,
negLang,vs,conjunctTypesToTotal,0.958440899189392,0.32890870883576695,
negLang,vs,conjunctNeighborSent,0.008860441458981445,0.9251118279078915,
negLang,vs,Segment,,,
negLang,vs,WC,,,
negLang,vs,WPS,,,
negLang,vs,BigWords,,,
negLang,vs,emopos,,,
negLang,vs,emoneg,,,
negLang,vs,anxiete,,,
negLang,vs,colère,,,
negLang,vs,tristesse,,,
negLang,vs,cognition,,,
negLang,vs,perspicacite,,,
negLang,vs,cause,,,
negLang,vs,divergence,,,
negLang,vs,tentative,,,
negLang,vs,certitude,,,
negLang,vs,inhibition,,,
negLang,vs,inclusion,,,
negLang,vs,exclusion,,,
negLang,vs,perception,,,
negLang,vs,remplisseur,,,
negLang,vs,Unnamed: 5,,,
negLang,vs,Unnamed: 6,,,
negLang,vs,Unnamed: 7,,,
negLang,vs,Unnamed: 8,,,
negLang,vs,Unnamed: 9,,,
negLang,vs,Unnamed: 10,,,
negLang,vs,Unnamed: 11,,,
negLang,vs,Unnamed: 12,,,
negLang,vs,Unnamed: 13,,,
negLang,vs,Unnamed: 14,,,
negLang,vs,Unnamed: 15,,,
negLang,vs,Unnamed: 16,,,
negLang,vs,Unnamed: 17,,,
negLang,vs,Unnamed: 18,,,
negLang,vs,Unnamed: 19,,,
negLang,vs,Unnamed: 20,,,
negLang,vs,Unnamed: 21,,,
negLang,vs,Unnamed: 38,,,
negLang,vs,Unnamed: 39,,,
negLang,vs,Unnamed: 40,,,
negLang,vs,Unnamed: 41,,,
negLang,vs,Unnamed: 42,,,
negLang,vs,DISC,RefExprPronounsPerNoun,0.5113465735038614,0.4754933710428094
negLang,vs,DISC,RefExprPronounsPerSen,0.9545771596034969,0.3298829194837053
negLang,vs,DISC,RefExprPronounsPerWord,0.8675220825138331,0.3529037680757934
negLang,vs,DISC,RefExprPerPronounsPerSen,0.9545771596034969,0.3298829194837053
negLang,vs,DISC,RefExprPerProPerWord,0.8675220825138331,0.3529037680757934
negLang,vs,DISC,RefExprPossProPerSen,,
negLang,vs,DISC,RefExprPossProPerWord,,
negLang,vs,DISC,RefExprDefArtPerSen,,
negLang,vs,DISC,RefExprDefArtPerWord,,
negLang,vs,DISC,RefExprProperNounsPerNoun,0.6112095436862846,0.435371432995029
metaphor,vs,POS,numNouns,0.003777366966907602,0.9510615950848736
metaphor,vs,POS,numProperNouns,34.14050219344061,2.3927186316296558e-08
metaphor,vs,POS,numPronouns,0.5328536161457443,0.4663691778753729
metaphor,vs,POS,numConjunct,0.10217984320739841,0.7496041192673397
metaphor,vs,POS,numAdjectives,3.1917330409654174,0.0757134988879329
metaphor,vs,POS,numVerbs,0.09354294850706586,0.760077846334438
metaphor,vs,POS,numAdverbs,6.95600823430028,0.009093077247948247
metaphor,vs,POS,numModals,,
metaphor,vs,POS,numPrepositions,0.41156578901084356,0.5220010691365236
metaphor,vs,POS,numInterjections,10.093779287259698,0.0017541066816258223
metaphor,vs,POS,numPerPronouns,0.5328536161457443,0.4663691778753729
metaphor,vs,POS,numWhPronouns,,
metaphor,vs,POS,numLexicals,1.0541468105039065,0.3059471756710957
metaphor,vs,POS,numFunctionWords,3.995606513537616,0.04714074334347741
metaphor,vs,POS,numDeterminers,1.457412741036804,0.22894399534706456
metaphor,vs,POS,numVerbsVB,0.0727760490699331,0.7876494140530292
metaphor,vs,POS,numVerbsVBG,,
metaphor,vs,POS,numVerbsVBN,1.0596139813566032,0.3046999499448031
metaphor,vs,POS,numVerbsVBP,,
metaphor,vs,POS,numVerbsVBZ,,
metaphor,vs,POS,advVar,7.245489384171169,0.007785970577935577
metaphor,vs,POS,adjVar,4.28072630217609,0.03999206081865838
metaphor,vs,POS,modVar,0.6092093245906987,0.43612239265942987
metaphor,vs,POS,nounVar,0.09293554300676697,0.7608340260155633
metaphor,vs,POS,verbVar1,0.030888617771180456,0.8606888901470949
metaphor,vs,POS,verbVar2,0.3861255241776232,0.5351380294201312
metaphor,vs,POS,squaredVerbVar1,4.322891542344455,0.03903654118815142
metaphor,vs,POS,correctedVV1,3.6273557516162396,0.05844976958180404
metaphor,vs,localNounOverlapCount,,,
metaphor,vs,localArgumentOverlapCount,4.163909685590965,0.04277099703599731,
metaphor,vs,localStemOverlapCount,1.7146627867536768,0.1920692016616183,
metaphor,vs,localContentWordOverlap,0.019763424637896994,0.8883587750314746,
metaphor,vs,globalNounOverlapCount,,,
metaphor,vs,globalArgumentOverlapCount,0.11217054178142657,0.7380807550530191,
metaphor,vs,globalStemOverlapCount,0.006147167030053538,0.9375948617025212,
metaphor,vs,globalContentWordOverlap,0.12033357714361004,0.729082742861046,
metaphor,vs,TTR,3.6980284493416598,0.0560729461611045,
metaphor,vs,CorrectedTTR,2.6553344757520487,0.10497144340948396,
metaphor,vs,RootTTR,2.655334475751976,0.10497144340948954,
metaphor,vs,BilogTTR,2.402698291791902,0.122902306144827,
metaphor,vs,MTLD,13.809817283079093,0.00027066339760035757,
metaphor,vs,conjunctToSent,0.3266602412022972,0.5683532971727417,
metaphor,vs,conjunctTypesToSent,1.247071950139601,0.2656175956650095,
metaphor,vs,conjunctToWords,0.41685486131393634,0.519342014605467,
metaphor,vs,conjunctNum,1.2991990215017066,0.25589104012785374,
metaphor,vs,conjunctTypesToTotal,1.095857101596213,0.296596508484588,
metaphor,vs,conjunctNeighborSent,4.733851960906405,0.03089257793598984,
metaphor,vs,Segment,,,
metaphor,vs,WC,,,
metaphor,vs,WPS,,,
metaphor,vs,BigWords,,,
metaphor,vs,emopos,,,
metaphor,vs,emoneg,,,
metaphor,vs,anxiete,,,
metaphor,vs,colère,,,
metaphor,vs,tristesse,,,
metaphor,vs,cognition,,,
metaphor,vs,perspicacite,,,
metaphor,vs,cause,,,
metaphor,vs,divergence,,,
metaphor,vs,tentative,,,
metaphor,vs,certitude,,,
metaphor,vs,inhibition,,,
metaphor,vs,inclusion,,,
metaphor,vs,exclusion,,,
metaphor,vs,perception,,,
metaphor,vs,remplisseur,,,
metaphor,vs,Unnamed: 5,,,
metaphor,vs,Unnamed: 6,,,
metaphor,vs,Unnamed: 7,,,
metaphor,vs,Unnamed: 8,,,
metaphor,vs,Unnamed: 9,,,
metaphor,vs,Unnamed: 10,,,
metaphor,vs,Unnamed: 11,,,
metaphor,vs,Unnamed: 12,,,
metaphor,vs,Unnamed: 13,,,
metaphor,vs,Unnamed: 14,,,
metaphor,vs,Unnamed: 15,,,
metaphor,vs,Unnamed: 16,,,
metaphor,vs,Unnamed: 17,,,
metaphor,vs,Unnamed: 18,,,
metaphor,vs,Unnamed: 19,,,
metaphor,vs,Unnamed: 20,,,
metaphor,vs,Unnamed: 21,,,
metaphor,vs,Unnamed: 38,,,
metaphor,vs,Unnamed: 39,,,
metaphor,vs,Unnamed: 40,,,
metaphor,vs,Unnamed: 41,,,
metaphor,vs,Unnamed: 42,,,
metaphor,vs,DISC,RefExprPronounsPerNoun,1.1718304996890938,0.28048970414316016
metaphor,vs,DISC,RefExprPronounsPerSen,1.7115230592202617,0.19247471686334838
metaphor,vs,DISC,RefExprPronounsPerWord,0.12618265291365427,0.7228438628875138
metaphor,vs,DISC,RefExprPerPronounsPerSen,1.7115230592202617,0.19247471686334838
metaphor,vs,DISC,RefExprPerProPerWord,0.12618265291365427,0.7228438628875138
metaphor,vs,DISC,RefExprPossProPerSen,,
metaphor,vs,DISC,RefExprPossProPerWord,,
metaphor,vs,DISC,RefExprDefArtPerSen,,
metaphor,vs,DISC,RefExprDefArtPerWord,,
metaphor,vs,DISC,RefExprProperNounsPerNoun,38.54730779143061,3.6607563411607763e-09
