ID,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception
SPC01,2.81,1.3,0,0.43,0.86,15.98,3.02,2.59,0.65,1.51,1.51,1.08,11.02,1.3,1.73
GRE13,2.91,2.37,0.36,0,0.91,22.77,2.73,3.64,2.19,2,4.19,0.73,9.11,2,2.55
BRE13,1.12,0.96,0.32,0.16,0.32,19.14,2.71,2.55,2.55,0.8,1.12,0.48,10.21,2.71,3.03
UPL02,3.72,0.89,0,0.53,0,20.57,3.01,2.84,1.95,1.77,2.48,0,11.35,3.01,2.13
UPS01,4.78,0.8,0.2,0,0,20.92,2.59,3.59,1.99,2.19,2.79,1,11.35,3.59,0.6
BOD02,2.43,1.42,0.2,0,0.4,23.48,4.25,4.86,2.83,2.43,2.83,1.21,9.92,3.85,2.83
BFC10,3.35,1.79,0.22,0.45,0.45,20.98,4.46,4.24,2.46,1.56,2.01,0.45,11.16,3.13,2.68
UCA12,0,0,0,0,0,9.41,0,0,0,0,0,0.17,9.58,0,0.17
UCA07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOR02,2.56,0.64,0,0.21,0.21,14.29,2.99,2.13,1.71,1.28,0.64,0.64,8.53,1.71,5.33
ALS08,2.66,0.66,0.17,0.17,0,23.09,4.15,3.49,3.16,2.99,2.49,0.17,10.8,2.82,2.82
BRE04,2.1,0.57,0.19,0,0.38,16.98,1.91,2.86,2.1,0.19,2.29,0.76,10.69,2.86,1.91
SPC09,3.91,1.3,0.78,0.26,0,21.35,4.95,2.86,1.56,1.3,2.34,0.26,7.81,2.34,2.86
OCM11,3.38,2.48,0.23,1.58,0.9,14.64,2.25,1.58,1.35,0.9,0.9,0.45,9.01,3.15,3.38
LRE07,3.17,1,0.33,0,0.17,20,1.83,3.67,2.17,2.17,2.17,0.5,10.17,3.33,2.17
OCM02,3.25,2.16,0.87,0.22,0.43,19.7,3.03,3.46,2.38,2.16,2.38,1.73,11.26,1.95,1.95
LOR05,4.72,2.55,0.59,0.2,0,22.4,2.95,2.16,1.96,2.55,2.95,1.18,11.39,3.93,2.55
ALS07,2.23,0.52,0.52,0,0,19.76,4.3,2.92,2.41,2.41,2.23,1.72,8.93,2.92,2.23
UPL01,3.86,2.89,0.48,0.72,0.48,13.98,2.41,2.65,1.2,1.69,0.96,0.48,7.95,1.69,1.2
SPC06,2.32,2.13,1.35,0.39,0.19,20.31,1.93,4.26,2.51,2.13,1.35,0.58,11.03,4.06,3.48
UPS10,1.92,0.87,0.17,0.87,0,17.83,1.57,3.32,1.57,2.45,1.75,0.52,11.71,2.8,4.72
UPS03,2.54,1.06,0.21,0,0.21,20.72,2.75,3.81,1.48,2.33,1.9,0.42,11.63,2.54,2.75
UCA08,0.65,0.22,0,0.22,0,24.14,7.33,1.08,7.76,0.22,6.25,0.22,16.38,0.86,6.47
LRE06,3.32,0.77,0.51,0.26,0.26,21.94,1.53,4.59,1.02,2.55,2.55,0.26,12.5,2.3,2.3
BOD05,2.72,0.91,0.18,0,0.18,17.97,2.36,4.54,1.27,1.63,1.63,0.18,9.07,3.45,2.18
BOD10,2.6,1.08,0.22,0.65,0.22,16.88,1.52,3.03,1.3,1.3,0.22,0.87,11.9,2.6,1.73
PES02,2.28,0.38,0,0,0.19,20.91,3.8,3.23,3.23,2.47,1.33,0.76,11.41,3.23,0.95
LYO11,2.86,3.24,1.33,0.19,0.38,19.43,2.29,1.71,1.33,1.71,1.52,0,11.62,3.43,2.48
BFC01,3.27,0.65,0,0,0.16,22.42,3.44,4.42,0.98,1.8,2.78,0.65,12.27,3.6,1.64
OCM20,3.55,1.04,0.21,0,0,20.46,1.88,2.3,2.09,2.3,2.92,1.46,10.65,3.34,0.21
CFE01,2.39,0.51,0,0.51,0,19.32,2.91,3.08,2.05,2.05,3.42,0.34,12.14,3.08,1.71
UCA15,0,0,0,0,0,1.13,0,0.28,0.28,0.56,0,0,0.28,0.56,0.28
UCA14,0,0,0,0,0,1.31,0,0,0,1.31,0,0,0,0,0
UCA01,0,0,0,0,0,0.16,0,0,0,0,0,0,14.38,0,0
nOR01,1.98,1.1,0.22,0.66,0.44,19.38,3.08,3.08,1.32,1.76,2.64,0.66,9.69,3.3,1.1
LOR10,2.07,0.75,0.56,0.38,0,18.23,2.44,2.63,2.63,2.26,1.69,0.38,6.95,4.32,1.69
CFE08,5.27,2.03,0.41,0.41,0.61,18.46,2.23,2.43,0.61,0.2,1.42,0.81,12.37,2.03,1.42
OCM01,4.37,1.34,0.5,0.34,0.17,16.47,2.86,2.86,2.52,1.18,1.51,0.67,9.41,4.03,3.03
LYO03,3.21,1.83,0.15,0.61,0.31,19.42,3.67,1.53,2.45,1.53,2.14,1.07,9.02,3.21,1.83
LRE03,1.42,0,0,0,0,16.81,1.42,2.28,1.14,2.28,1.14,0.28,13.11,2.85,1.14
PES01,3.8,0.67,0,0.22,0.45,17,3.8,1.57,2.01,1.79,1.79,0.45,9.4,2.91,2.01
LRE02,2.73,2.37,0.36,0.73,0.36,15.3,2.19,4.01,3.1,0.91,0.73,1.09,8.01,4.37,1.09
LOR07,1.64,1.85,0.21,0.41,0.21,20.12,3.29,4.93,2.87,2.67,2.26,0.21,9.86,4.11,1.85
GRE08,3.48,3.13,0.17,0.87,1.22,25.22,3.3,2.96,2.09,2.96,2.43,0.7,10.26,6.09,2.26
UPS13,4.15,2.35,0.18,0.36,0.18,19.68,2.17,5.6,1.62,1.81,0.9,1.08,9.39,3.25,2.35
CFE03,3.36,1.31,0.56,0,0.56,20.19,2.24,2.06,2.62,1.68,2.8,0.37,10.09,4.11,1.87
HES05,2.81,0.43,0,0,0,22.68,7.13,4.1,1.3,1.08,2.16,0.86,11.23,3.24,3.02
PES03,1.43,0.61,0,0.2,0.2,18.33,2.44,2.85,1.63,1.83,2.04,0.61,9.98,1.63,1.83
SPC12,1.74,1.57,0,0.17,0.52,16.9,4.18,1.92,1.22,1.22,0.87,0.52,9.93,2.09,1.22
SPC07,5.27,1.45,0.18,0.73,0.55,19.45,3.64,4,1.09,2.91,2.73,0.73,9.64,3.27,4.36
ALS06,3.44,1.29,0.14,0.43,0.14,20.37,1.15,2.87,2.3,2.01,2.01,0.43,11.19,4.3,1.87
LDV01,3.47,1.28,0.55,0.18,0.18,18.1,3.11,2.01,0.73,1.1,1.46,0.18,12.43,1.65,2.74
BOD11,4.65,0.81,0,0.2,0,18.79,3.64,2.22,2.42,2.02,1.62,1.82,10.3,2.63,3.43
BOD04,3.66,1.35,0,0.96,0.19,20.04,3.85,2.12,2.7,2.5,3.08,0.58,9.06,3.85,1.73
CFE09,1.97,2.15,0.36,0.9,0.18,17.92,1.43,2.15,2.87,2.33,1.25,1.08,9.68,2.87,1.25
GRE09,3.91,1.42,0,0,0.71,25.98,3.91,5.34,1.78,2.14,3.2,0.53,11.92,5.87,2.49
UCA09,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0,0
BRE01,1.76,1.06,0,0.71,0.18,17.64,2.65,2.29,1.41,1.41,1.76,0.35,10.23,2.82,1.23
UCA06,2.06,0,0,0,0,1.03,0.13,0.13,0.13,0,0,0,0.52,0.39,0
UCA13,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPS02,2.6,2.6,0,0,0.87,19.91,4.11,3.9,0.43,1.95,2.81,0.65,11.47,1.3,1.3
LDV06,2.18,0.2,0.2,0,0,19.8,2.38,3.76,2.38,2.77,1.58,1.39,9.5,3.96,1.19
GRE11,4.62,2.56,1.2,0.17,0.51,19.83,2.56,1.88,1.03,2.22,1.54,0.34,9.74,4.27,1.54
CFE11,4.62,1.35,0.19,0.38,0.58,16.35,2.69,1.92,1.15,1.92,1.35,0.58,9.81,3.08,1.15
SPC08,2.31,0.63,0,0.21,0,19.92,2.1,2.52,1.05,3.14,1.89,0.84,10.69,2.52,2.31
ALS09,3.78,0.8,0,0.2,0.4,19.72,4.78,2.79,1.79,2.99,2.59,0.8,7.77,3.19,2.19
GRE10,3.2,1.35,0.34,0.67,0.17,19.87,2.36,4.88,1.52,2.02,2.69,2.19,9.76,3.87,2.19
ALS01,2.41,1.12,0.16,0.16,0,18.14,1.44,3.21,1.12,2.89,1.44,0.32,9.95,3.53,2.25
HES06,1.8,1.55,0.26,0.52,0.26,21.13,4.64,2.32,1.29,0.52,1.29,0.77,12.11,1.8,3.87
CFE05,2.85,0.38,0,0,0,19.17,0.95,3.42,0.76,2.85,2.09,0.76,11.01,3.04,2.09
PES05,3.44,1.38,0.23,0.23,0.23,20.64,2.52,1.15,2.75,2.75,2.52,0.23,8.94,3.44,2.29
BOD03,2.89,0,0,0,0,16.89,3.11,2.67,1.11,0.89,1.11,0,10.44,2,2.89
BOD16,2.59,0.56,0,0.37,0,22.22,3.33,2.96,2.22,1.48,1.3,0.56,10.93,3.33,3.89
nOR12,3.99,0.32,0.16,0.16,0,15.63,2.39,2.55,1.91,1.75,0.8,0.16,8.93,2.71,2.07
GRE15,4.25,1.01,0,0,0.4,26.11,4.25,2.83,2.43,3.44,2.83,1.01,12.15,3.44,4.86
nOR11,2.36,1.26,0,0.47,0.16,22.68,4.09,2.52,1.89,2.2,2.36,0.47,12.13,1.89,3.78
LDV10,4.02,0.73,0,0,0.37,19.01,3.47,2.74,1.46,2.19,0.55,1.46,10.97,2.74,1.46
OCM17,1.76,1.37,0.39,0.39,0,11.94,2.15,2.54,1.17,1.37,1.17,0.2,7.24,1.17,2.74
OCM18,2.08,0.94,0.19,0.38,0.38,21.7,3.02,4.34,2.08,2.64,1.89,1.13,9.06,3.58,1.7
GRE06,1.33,2.67,0.22,0.22,2,17.56,0.89,2.22,2.67,3.11,1.11,0.22,10,3.11,2
LDV05,2.4,1.03,0,0.34,0.34,17.67,2.23,2.92,1.89,2.23,1.72,0.86,9.78,3.95,1.72
UCA04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCA11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRE11,1.33,0.38,0,0,0.19,18.98,2.47,2.28,1.33,1.71,2.85,0.95,11.76,1.9,1.9
BOD09,3.61,0.9,0,0,0.36,23.1,2.53,4.87,1.99,2.35,1.81,1.44,11.91,3.07,1.62
UPS08,4.68,0.72,0,0.18,0.18,22.34,1.98,2.52,2.7,3.96,1.98,0.36,11.89,5.59,4.32
BFC07,2.02,0.51,0,0,0.25,15.15,2.53,3.54,1.77,0.51,1.01,0.25,9.09,1.52,3.54
CFE07,3.84,0.37,0,0.18,0.18,18.65,5.12,2.19,2.01,1.1,1.46,0.18,10.79,2.19,0.91
GRE05,2.49,1.78,0.18,0.53,0,20.96,3.73,2.49,1.6,2.13,1.07,0.89,12.79,2.84,1.95
BOD01,2.09,1.57,0.35,0.35,0.7,16.9,2.61,2.09,1.57,1.92,0.52,0.87,8.89,2.26,2.09
BOD14,3.17,1.68,0,0,0.56,21.79,3.91,2.98,1.86,2.98,1.68,0.93,11.17,3.54,2.23
OCM12,2.87,0.9,0.36,0,0.36,18.85,3.77,3.05,1.62,1.97,2.69,0.36,10.23,2.33,1.08
POF02,4.35,2.06,0.23,0,1.37,24.26,5.03,2.29,1.83,1.6,2.29,1.14,11.9,6.64,2.29
LYO13,6.42,0.16,0.16,0,0.16,21.6,2.03,3.76,1.41,2.82,1.72,0.31,12.21,4.69,2.5
SPC02,1.04,2.26,0,0.69,0.35,19.79,2.43,2.26,2.95,1.39,1.91,1.04,10.94,3.65,1.74
ALS03,3.75,0.75,0,0,0.19,20.83,3.94,2.06,2.06,3,2.44,0.94,12.95,3.94,1.13
nOR09,4.41,3.43,0.33,0.49,0.82,18.14,0.82,2.45,1.8,2.29,2.12,1.14,9.97,4.25,2.78
BRE14,1.18,0.99,0.2,0.59,0.39,20.12,5.52,4.93,1.97,0.79,1.58,0.99,7.89,1.18,3.16
LYO12,4.2,0,0,0,0,24.34,3.98,4.65,1.33,3.76,2.65,0.44,10.18,2.65,1.99
PES04,1.79,0.71,0.71,0,0.36,12.86,2.5,0.71,0.36,2.14,0.36,0.71,9.29,2.14,2.86
CFE06,2.87,0.44,0,0.22,0,17.22,2.65,2.43,2.43,1.77,1.1,0.22,8.83,4.42,2.21
UCA03,0,0,0,0,0,40.73,0.12,2.01,0.12,12.28,13.7,0,19.83,0,7.2
HES08,4.04,0.92,0,0,1.1,23.49,5.5,2.57,2.39,2.02,2.57,0.37,7.89,3.49,3.67
BOD13,2.46,1.03,0,0.41,0,12.94,2.05,2.05,0.82,0.62,0.82,0.41,8.21,1.03,1.44
BOD06,2.24,3.88,0.2,1.02,1.43,21.84,4.29,2.86,1.63,1.63,2.65,2.04,7.55,2.45,2.86
BFC09,4.72,2.46,0,0.41,0,23,2.87,4.11,3.7,2.05,2.87,0.82,10.68,4.31,1.64
BRE08,2.87,1.55,0.22,0.88,0.22,18.76,3.31,2.87,0.88,3.09,1.1,0.88,10.82,2.21,3.09
LYO01,2.72,0.58,0,0,0.19,19.81,3.5,4.08,1.55,2.33,1.17,0.78,11.46,2.72,5.24
ALS04,3.62,0.82,0,0,0.33,17.6,3.62,1.32,2.96,1.81,1.81,0.49,9.05,3.78,1.15
ALS11,4.14,0.69,0.17,0,0.17,19.31,2.24,2.41,0.86,2.41,3.28,1.55,10.69,2.07,2.24
BRE06,2.14,1.36,0.39,0.58,0.19,18.13,1.75,2.34,2.34,2.34,0.97,1.17,10.72,2.92,2.14
SPC10,6.07,1.04,0.52,0.52,0.35,21.84,2.08,2.08,2.77,2.6,1.91,0.69,11.27,4.85,3.12
SPC05,4.01,0.36,0,0,0.36,17.3,2.91,1.82,2.73,1.82,1.46,1.46,8.74,3.28,2.55
PES10,3,0.83,0.17,0.17,0.67,18.5,3.83,2.67,1,3.33,2.83,0.33,8.67,1.33,1.83
OCM15,5.17,0.2,0,0.2,0,20.08,3.38,3.18,0.99,1.59,2.58,0.2,9.94,1.59,4.17
BOD07,2.01,0.73,0,0.18,0.18,21.02,2.56,2.38,2.74,1.28,1.46,0.55,12.61,4.2,3.66
BOD12,4.29,1.54,1.03,0.17,0.17,19.9,2.06,5.66,1.37,1.2,1.54,0.86,11.49,4.29,2.57
SPC04,2.03,2.2,0.17,0.17,1.18,17.57,2.53,3.04,1.35,1.52,2.53,0.68,10.98,1.01,1.86
SPC11,3.23,1.15,0,0.46,0,18.94,3,2.54,0.69,1.62,1.62,0.69,9.93,2.31,2.54
BRE11,5.15,0.89,0,0.22,0,21.48,3.36,3.8,1.57,1.57,3.13,1.12,10.07,4.03,1.57
ALS10,3.34,0.5,0.17,0.17,0,15.53,2.84,2.67,1.5,0.67,0.83,0.5,10.68,3.01,2.17
ALS05,2.9,0.18,0.18,0,0,17.97,1.63,2.36,0.73,2.36,1.27,1.09,10.34,3.09,2.54
LOR01,2.14,0.71,0,0.18,0.36,20.11,0.89,4.09,1.25,2.67,1.6,0.89,9.96,2.85,1.6
UPS14,4.61,0.85,0,0.17,0.51,20.99,2.22,4.61,2.56,2.56,1.02,1.02,11.77,3.58,4.1
