ID,emopos,emoneg,anxiete,col√®re,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception
UCA02,1.28,0.48,0,0,0,5.44,1.12,0.96,0.32,0.96,0.48,0,4.16,0.8,1.28
POF01,3.67,0.22,0,0,0,22.25,1.73,5.83,1.73,0.86,3.02,0.86,11.02,2.81,1.73
LYO06,1.51,0.95,0,0.76,0,18.9,3.78,3.78,1.32,3.4,1.13,0.95,9.45,2.08,2.84
OCM03,3.42,0,0,0,0.18,18.17,3.78,3.42,1.8,1.8,1.8,1.08,9.17,2.88,2.52
OCM06,3.27,2.36,0,0.55,0.73,22.18,3.64,3.64,1.09,1.64,2.36,0.18,12,2.18,2
BOD15,3.19,0.8,0,0,0.16,23.96,3.99,4.47,2.72,2.08,2.08,0.48,9.58,4.63,1.44
ALS02,4.71,1.26,0,0.31,0.31,22.61,1.57,2.98,1.88,2.35,1.57,2.2,11.93,4.08,3.3
SPC03,2.01,2.46,1.34,0.22,0.45,25.28,2.68,3.36,1.79,2.68,2.91,1.34,12.53,2.91,0.45
CFE10,3.82,1.12,0,0,0.45,17.3,2.92,0.9,0.67,0.9,2.25,1.57,8.76,2.02,2.7
OCM19,3.36,1.41,0.35,0.71,0.35,19.79,2.3,2.47,1.94,2.47,2.12,0.35,10.95,2.83,1.94
LOR03,3.8,1.27,0.18,0.18,0.36,25.18,4.17,6.7,2.36,2.17,4.53,0.91,9.24,4.17,1.45
OCM07,4.85,2.6,0.17,1.04,0,20.62,2.77,4.16,1.73,1.56,3.12,1.21,10.92,3.12,1.21
LYO08,3.54,0.56,0.56,0.19,0,18.47,2.43,2.8,1.12,2.05,1.49,0.75,11.01,2.05,1.49
LYO02,3.58,0.75,0.19,0.19,0.19,27.55,4.91,4.34,2.26,2.64,3.4,0.75,13.02,3.58,1.51
OCM10,3.14,1.26,0,0,0,18.87,2.1,2.31,1.05,1.47,2.52,0.84,11.53,1.89,2.1
BOD08,3.06,1.31,0,0.44,0,13.79,2.41,1.75,0.88,0.66,0.88,1.09,10.5,1.75,2.19
UCA10,4.14,0,0,0,0,16.9,5.17,0.34,5.17,4.83,1.03,0,6.9,8.97,0
UCA05,0,17.21,0,0,17.21,0.33,0,0.16,0,0.16,0,0,0.16,0,0
GRE12,2.11,1.75,0,0.18,0,16.14,3.16,3.86,1.23,1.4,2.28,1.05,9.3,0.53,1.93
SOU08,2.75,0.34,0,0.17,0.17,17.18,2.75,2.06,1.37,1.89,1.2,0.34,11.17,2.92,0.86
UPS04,2,2,0.22,1.11,0.22,24.39,4.21,3.55,2.22,2,2.22,1.11,12.2,1.33,1.77
nOR02,3.17,0.21,0,0,0,19.66,4.02,2.75,1.9,2.75,2.54,0.21,9.09,3.38,1.48
nOR07,6.16,0.91,0.23,0.23,0.23,21.46,2.05,3.42,1.6,1.6,2.74,0.68,11.87,2.97,1.83
UPS09,4.07,1.02,0.2,0.41,0,18.53,2.44,1.83,1.63,3.05,2.65,0.2,9.37,3.87,1.02
SOU15,2.5,0.36,0.18,0,0,20.57,4.11,2.5,1.07,2.15,1.43,0.36,11.81,2.15,5.55
LRE01,3.16,1.3,0.19,0.19,0.74,18.59,1.49,1.86,1.67,1.12,0.37,0.74,14.68,3.16,1.49
HES01,1.77,1.32,0.66,0.44,0.44,17.88,0,4.19,1.99,1.32,1.32,0.22,13.47,3.53,2.21
nOR08,4.63,0.93,0,0,0.46,21.06,2.78,4.63,1.85,3.01,1.85,0,10.42,2.78,2.08
LYO07,5.2,0.19,0,0,0.19,21.19,3.66,4.24,1.73,1.93,3.08,0.19,10.21,3.28,5.01
LDV04,3.94,3.45,0.49,2.3,0.33,18.06,1.48,2.13,1.64,1.97,2.79,0.99,12.32,1.64,3.28
BFC05,4.05,0.58,0.19,0,0.58,22.93,5.59,2.7,0.77,2.12,2.7,0.19,10.79,2.5,3.08
BRE12,0.8,1.87,0.8,1.07,0.27,4.55,0.27,0.8,0,0,1.34,0,1.07,2.14,0.27
nOR05,2.52,1.26,0,0.21,0.21,13.84,1.68,3.98,1.05,1.26,1.89,1.47,10.69,1.47,1.89
OCM08,2.64,0.88,0,0.22,0.22,17.4,2.42,3.08,2.64,1.1,2.2,0.88,10.13,3.3,1.1
LDV07,3.75,1.13,0,0.38,0.56,20.08,1.5,2.81,0.94,1.88,2.44,0.56,11.82,1.5,2.06
OCM14,5.07,1.63,0,0.54,1.09,23.73,3.8,1.99,1.45,3.62,3.08,0.36,10.69,5.25,2.72
BFC04,2.92,0.78,0.19,0,0.39,20.86,1.95,2.73,2.34,2.53,2.53,1.17,11.11,3.9,2.73
BFC06,4.28,0.18,0,0,0.18,17.65,1.78,3.21,0.89,1.6,1.96,0.53,9.98,2.5,1.43
SOU12,2.71,1.25,0.42,0,0.63,17.29,2.29,1.25,1.04,2.5,1.46,0,10.83,2.92,2.08
SOU07,1.58,0.88,0.53,0,0.18,20.6,3.7,3.52,2.64,3.17,1.94,0.53,9.15,3.52,2.99
UPS05,2.3,0.21,0,0,0.42,19.67,1.67,4.6,1.88,2.51,1.26,0.42,10.46,3.35,1.46
PES11,2,2.8,0.2,0,0,16.8,2.8,1,0.8,2.6,2,0.8,11.8,1.8,2.8
SOU06,3.85,1.17,0,0.17,0.5,21.11,2.18,3.85,1.68,1.68,1.51,0.5,12.4,2.85,3.69
SOU13,3.51,0.53,0.18,0,0,20.91,2.81,4.92,3.69,3.34,1.76,0.88,8.96,5.45,2.28
OCM16,4.62,1.24,0.36,0.36,0,22.91,3.91,2.13,3.2,1.78,4.8,1.07,9.06,4.62,2.66
AnT02,3.27,1.45,0.36,0,0.36,18.69,2.72,1.81,2.54,2,2.9,0.73,9.07,3.27,1.81
LDV08,4.29,1.36,0,0.39,0.39,20.27,2.14,2.73,2.34,2.14,2.92,0.39,11.7,3.51,2.92
PES09,2.7,0.9,0.18,0,0.36,16.37,1.62,2.34,1.08,1.08,1.08,0.72,10.07,1.62,1.8
CVL03,1.74,2.83,0.87,0.65,0.65,16.56,1.74,1.96,0.87,2.61,1.96,0.65,9.37,1.53,1.09
nOR06,1.87,1.5,0,0.19,0.56,16.67,1.69,2.62,1.87,1.31,1.12,0.19,10.3,2.25,3.75
LOR04,2.26,2.08,0.19,0.38,0.19,20.19,2.83,2.26,2.64,2.45,2.08,1.13,10.57,3.58,2.26
CVL02,2.1,1.93,0.35,0.88,0.18,22.24,3.5,4.38,1.58,2.1,2.98,0.35,10.16,2.45,3.15
POF04,2.46,0.35,0,0.18,0.18,16.49,2.11,2.46,2.28,1.93,2.28,0.53,8.95,2.81,1.93
BFC02,2.83,1.59,0,0.18,0.53,23.5,6.01,6.01,1.94,2.65,1.77,1.06,10.07,4.95,1.41
POF05,2.59,0.43,0,0,0.43,19.61,3.66,2.8,2.59,1.72,1.29,0.22,9.7,2.37,1.29
UPS12,3.08,1.54,0.39,0.19,0.39,17.53,3.47,2.7,1.54,1.93,1.35,2.12,8.29,2.7,1.54
BRE09,3.71,0.87,0.22,0,0,19.43,3.28,3.71,1.75,2.62,1.09,0,9.17,4.15,2.18
LYO10,2.66,0.89,0,0.18,0.35,19.68,2.3,3.37,1.42,1.95,1.95,0.71,10.28,3.01,1.6
CFE02,3.51,1.5,0,0.25,0.25,15.04,2.26,2.76,2.01,2.01,1,1.25,8.27,1.75,2.76
BRE05,2.93,1.53,0.28,0.42,0.56,19.25,3.07,2.23,2.51,2.37,1.95,0.14,10.74,4.04,2.09
SOU14,3.2,0.49,0,0,0.49,16.5,2.71,2.71,1.72,0.74,1.72,0.49,9.11,1.48,1.23
SOU01,2.37,1.02,0,0.17,0.34,20.51,4.24,3.22,2.03,1.19,2.71,0.51,10.51,2.71,2.03
SOU09,3.69,0.74,0.25,0,0.25,21.67,4.19,3.45,1.72,2.46,1.97,0.25,12.07,1.72,0.49
LOR09,3.6,0.67,0.22,0.22,0.45,16.85,1.57,2.92,0.22,1.35,1.12,1.35,11.24,1.12,2.02
GRE04,5.74,0.48,0,0,0.48,17.7,5.02,2.39,0.96,0.48,2.15,0,7.89,2.63,3.11
CFE04,1.57,2.09,0.17,0,1.22,20.94,2.97,4.89,2.27,0.87,3.32,1.75,10.12,3.66,2.09
LRE08,3.05,0.47,0.23,0,0,22.54,2.35,3.99,3.52,1.88,1.88,1.17,12.44,3.29,1.88
BFC08,3.24,0.81,0,0,0.2,21.46,3.04,2.63,2.43,1.01,1.82,0.81,12.15,3.04,2.23
LYO04,6.15,1.76,0.44,0.22,0,20.44,1.98,3.96,1.32,1.54,0.88,1.1,10.55,4.84,1.32
LRE09,3.16,1.81,0.23,0.9,0.23,17.38,3.16,3.61,1.81,1.13,1.58,0.45,7,1.35,2.71
SOU16,4.42,0.84,0,0,0,20.42,1.26,5.26,0.84,2.74,1.89,0.42,10.11,1.68,1.89
SOU03,4.07,0.81,0.41,0.2,0.2,18.53,2.04,2.65,1.22,1.02,2.44,0.41,12.02,2.24,1.43
AnT02,2.8,0.93,0,0.23,0.47,15.65,1.87,2.8,1.64,1.4,2.57,0.47,8.18,3.27,1.17
GRE14,2.65,1.42,0,0.18,0.71,20.53,3.19,3.72,2.48,1.95,2.83,0.18,11.5,2.3,3.89
LDV03,3.35,1.59,0.18,0.53,0.35,19.4,3,3,3,3,1.41,0.53,8.82,4.06,2.29
UPS07,4.97,0.65,0,0,0,23.76,3.02,4.1,1.3,1.51,3.67,1.08,14.04,3.02,1.94
AnT01,3.2,3.55,1.95,0.18,0.71,23.98,4.62,3.55,1.78,1.42,2.66,1.24,10.12,3.73,2.84
LYO05,3.23,1.53,0.51,0.34,0.51,21.56,4.41,3.4,2.38,3.4,1.7,0.51,9.51,3.06,2.21
BRE15,4.1,0.71,0,0.18,0,26.2,4.99,4.28,2.32,3.57,1.25,0.18,13.55,4.63,2.67
BRE07,1.97,1.48,0.74,0.25,0.25,23.15,7.14,1.72,2.22,3.2,0.49,0.49,10.34,4.43,2.22
LOR06,3.6,0.72,0.24,0.48,0,20.86,4.56,5.04,1.92,2.16,1.68,1.2,8.87,3.12,1.68
HES04,2.05,1.03,0.17,0,0,18.32,2.23,2.74,0.86,2.23,2.57,1.03,10.27,1.71,1.88
UPS06,2.39,2.6,0.22,1.3,0.65,20.39,2.39,3.47,2.17,1.95,3.04,1.3,11.28,3.04,1.95
POF03,1.88,0.94,0,0,0.16,21.13,2.66,2.35,2.03,2.5,0.94,0,11.11,3.29,3.13
OCM13,3,0.54,0,0,0,17.17,2.72,3.27,0.82,3.27,1.91,0.54,9.26,1.09,1.91
SOU04,4.74,0.55,0,0,0,17.7,2.19,2.01,2.01,2.37,1.46,0.18,10.22,4.56,5.11
SOU11,4.62,1.41,0.2,0.2,0,21.89,3.01,3.01,1.81,2.01,2.41,0.6,11.85,3.01,4.42
LRE10,4.41,1.34,0,0,0.38,22.26,3.65,4.99,1.15,1.15,2.5,0,10.75,1.92,1.92
AnT01,3.82,0.8,0.2,0.2,0,17.1,1.81,2.62,2.62,2.21,2.21,0,7.85,3.22,2.21
nOR04,2.47,1.79,0.67,0,0.45,21.97,4.04,2.69,1.35,2.24,1.79,0.45,11.66,2.69,2.47
HES02,2.46,0.53,0,0.18,0.18,20.39,2.81,3.51,1.93,1.93,1.05,1.05,11.25,2.99,2.46
CVL04,2.81,1.4,0,0,0.8,21.64,2.2,3.21,2.81,1.8,1.2,0.8,12.63,2.81,2.81
BRE03,3.24,0.62,0.15,0,0.15,16.02,2.62,3.08,0.92,1.85,1.85,0.62,9.86,1.39,2.47
GRE07,2.15,1.93,0,0.43,0.43,17.81,1.5,4.29,1.07,1.29,2.79,1.72,10.09,1.5,1.93
OCM05,2.47,0.99,0,0.49,0.16,16.78,3.29,1.64,1.48,1.97,2.14,0.49,9.7,2.47,3.29
BRE16,3.77,0.69,0,0.17,0.51,23.33,3.26,3.95,2.06,2.74,2.23,0.69,9.95,3.77,1.2
PES08,5.41,1.25,0,0,0,16.84,2.91,1.66,1.25,1.87,1.25,1.04,9.98,2.91,2.29
GRE03,5.12,3.02,0.47,0.23,0.93,22.56,5.35,3.26,1.4,1.63,2.56,0.47,12.56,4.65,1.86
SOU10,3.18,2.12,0,0.35,1.06,24.56,6.01,3.71,1.94,2.83,2.47,0.53,13.6,2.65,2.3
SOU05,3.94,0.62,0.41,0.21,0,18.67,3.32,1.04,1.87,2.28,2.49,1.04,9.54,3.11,1.66
GRE02,3.21,0.92,0,0.23,0.23,18.58,2.75,2.75,1.61,0.92,2.06,0.69,9.86,2.29,3.9
PES06,2.67,0.82,0.21,0,0.21,18.48,2.87,3.08,0.62,2.67,0.82,0.82,10.06,2.46,2.05
nOR03,3.34,1.06,0.3,0.76,0,17.6,1.37,2.58,3.19,3.03,2.43,0.46,9.56,3.34,1.37
UPS11,4.38,2.07,0,0.92,0.46,21.89,0.23,3.69,1.15,2.53,2.76,0.92,8.29,3.69,1.61
PES07,3.14,1.88,0,0.63,0.84,17.36,2.93,3.35,2.3,1.67,2.3,0.42,8.79,3.56,0.84
BRE02,3.42,0.57,0.38,0,0,19.54,2.85,3.42,2.85,1.9,2.47,0.76,8.35,4.36,1.71
nOR10,3.1,2.38,0.71,0.95,0.48,17.14,2.38,1.9,0.95,2.62,1.9,1.19,9.05,1.43,3.1
HES07,3.99,1.39,0.17,0.52,0.35,19.76,2.95,3.12,1.04,1.21,3.12,0.52,11.27,1.73,3.29
LDV09,2.04,1.23,0.2,0.41,0.2,17.79,2.04,3.68,2.04,2.04,1.23,1.23,9.2,2.25,2.66
OCM09,4.96,1.79,0.4,0.4,0.79,18.25,0.99,2.78,2.38,1.98,1.19,1.19,11.31,4.76,1.39
LRE05,1.15,0.96,0.19,0.19,0,19.42,2.5,3.85,2.69,2.5,1.15,0.96,11.92,3.27,0.19
BFC03,4.45,0.89,0,0,0.3,21.66,4.75,1.78,2.08,0.89,2.97,0.59,9.2,5.04,0.89
LRE04,3.54,0.93,0.19,0.19,0.37,18.99,1.86,1.68,2.61,1.86,1.68,0.19,10.8,3.54,1.49
BRE10,4.19,0.5,0.17,0.17,0,22.61,2.35,2.01,1.34,2.35,3.18,1.17,13.74,2.68,1.84
HES03,4.2,1.31,0,0,0.26,22.31,1.05,3.15,2.1,2.36,2.36,0.26,9.97,3.94,2.89
CVL01,4.83,2.17,0.72,0,0.48,21.98,4.59,2.66,3.62,1.45,1.21,0,12.8,4.11,2.9
LDV02,3.66,1.22,0.46,0,0.31,17.86,2.29,2.14,2.44,1.68,2.29,0.92,9.31,2.9,1.53
UPS15,2.38,2.78,0.2,0.99,0.79,20.04,2.18,3.37,2.38,2.38,2.38,0.6,10.71,2.98,2.98
LYO14,2.84,0.76,0,0.19,0.19,20.08,2.84,5.68,1.14,1.89,0.57,0.95,10.8,2.08,2.27
LOR08,2.29,1.72,0,0,0.95,18.89,3.05,3.82,2.67,2.1,1.72,0.38,7.44,3.24,1.72
LYO09,3.25,2.05,0,0.86,0.68,20.89,2.23,2.91,3.08,2.74,2.74,1.37,12.84,4.11,1.88
SOU02,1.68,0.93,0.19,0,0.93,10.99,1.86,0.56,1.3,0.93,1.12,0.19,7.45,1.49,3.72
GRE01,4.85,1.21,0.2,0.61,0.61,19.19,4.04,3.23,1.62,1.82,2.83,0.81,10.71,2.42,1.82
OCM04,3.4,0.94,0,0.57,0.19,20,3.02,2.83,2.83,2.64,1.13,0.19,8.3,5.09,2.08
